contest_id,date,election,state,seat,seat_type,seat_no,seat_name,seat_key,year,win_candidate_uid,win_name,win_party_uid,win_party,win_coalition_uid,win_coalition,win_votes,win_votes_perc,win_result,run_party_uid,run_party,run_coalition_uid,run_coalition,run_votes,run_votes_perc,voters_total,votes_valid,majority,n_candidates,voter_turnout,majority_perc,margin_perc,uncontested
1990-10-20|Terengganu|N.06 Permaisuri,1990-10-20,SE-08,Terengganu,N.06 Permaisuri,state,06,Permaisuri,state|Terengganu|permaisuri,1990,JA2Q9,Shafi'I bin Omar,001-UMNO,UMNO,001-BN,BN,4792,62.43648208469056,won,062-S46,S46,005-APU,APU,2883.0,37.56351791530945,9385,7675,1909,2,85.07192328183271,24.872964169381103,24.872964169381113,False
1990-10-20|Terengganu|N.07 Langkap,1990-10-20,SE-08,Terengganu,N.07 Langkap,state,07,Langkap,state|Terengganu|langkap,1990,GME3Z,Mamat Ghazalee bin Abdul Rahman,001-UMNO,UMNO,001-BN,BN,3811,62.48565338580095,won,004-PAS,PAS,005-APU,APU,2288.0,37.51434661419905,7417,6099,1523,2,84.80517729540246,24.971306771601903,24.971306771601903,False
1990-10-20|Terengganu|N.08 Batu Rakit,1990-10-20,SE-08,Terengganu,N.08 Batu Rakit,state,08,Batu Rakit,state|Terengganu|batu rakit,1990,WK4Y4,Abdul Wahab bin Ngah,001-UMNO,UMNO,001-BN,BN,4008,59.62511157393633,won,062-S46,S46,005-APU,APU,2629.0,39.11038381434097,8335,6722,1379,3,83.59928014397121,20.51472775959536,20.51472775959536,False
1990-10-20|Terengganu|N.09 Tepuh,1990-10-20,SE-08,Terengganu,N.09 Tepuh,state,09,Tepuh,state|Terengganu|tepuh,1990,3EH2P,Abdullah bin Said (Wahab),001-UMNO,UMNO,001-BN,BN,4966,55.86051743532059,won,004-PAS,PAS,005-APU,APU,3924.0,44.13948256467942,11219,8890,1042,2,82.43158926820571,11.72103487064117,11.72103487064117,False
1990-10-20|Terengganu|N.10 Teluk Pasu,1990-10-20,SE-08,Terengganu,N.10 Teluk Pasu,state,10,Teluk Pasu,state|Terengganu|teluk pasu,1990,6W74Z,Abdul Rahman bin Mohd,001-UMNO,UMNO,001-BN,BN,4642,53.64613428868601,won,004-PAS,PAS,005-APU,APU,4011.0,46.35386571131399,10125,8653,631,2,86.81481481481481,7.292268577372011,7.292268577372013,False
1990-10-20|Terengganu|N.11 Seberang Takir,1990-10-20,SE-08,Terengganu,N.11 Seberang Takir,state,11,Seberang Takir,state|Terengganu|seberang takir,1990,9DBKQ,Abdul Rashid bin Ngah,001-UMNO,UMNO,001-BN,BN,4925,70.1866894684338,won,062-S46,S46,005-APU,APU,2092.0,29.813310531566195,8866,7017,2833,2,81.77306564403338,40.37337893686761,40.3733789368676,False
1990-10-20|Terengganu|N.12 Bukit Tunggal,1990-10-20,SE-08,Terengganu,N.12 Bukit Tunggal,state,12,Bukit Tunggal,state|Terengganu|bukit tunggal,1990,DQK9H,Adam bin Ali (Mansor),062-S46,S46,005-APU,APU,3387,51.81275814593851,won,001-UMNO,UMNO,001-BN,BN,3150.0,48.1872418540615,8205,6537,237,2,81.9744058500914,3.625516291877008,3.6255162918770125,False
1990-10-20|Terengganu|N.13 Bandar,1990-10-20,SE-08,Terengganu,N.13 Bandar,state,13,Bandar,state|Terengganu|bandar,1990,E05WR,Mohamed bin Jusoh (Harun),004-PAS,PAS,005-APU,APU,4682,45.651326053042126,won,003-MCA,MCA,001-BN,BN,3956.0,38.57254290171607,14369,10256,726,4,73.35931519242814,7.078783151326053,7.078783151326057,False
1990-10-20|Terengganu|N.14 Ladang,1990-10-20,SE-08,Terengganu,N.14 Ladang,state,14,Ladang,state|Terengganu|ladang,1990,R8786,Abu Bakar bin Daud,001-UMNO,UMNO,001-BN,BN,5178,61.72368577899631,won,062-S46,S46,005-APU,APU,3211.0,38.276314221003695,11868,8389,1967,2,73.23053589484327,23.44737155799261,23.447371557992618,False
1990-10-20|Terengganu|N.15 Batu Buruk,1990-10-20,SE-08,Terengganu,N.15 Batu Buruk,state,15,Batu Buruk,state|Terengganu|batu buruk,1990,EG096,Wan Abdul Muttalib (Wan Musa) bin Embong,004-PAS,PAS,005-APU,APU,6048,54.00964457938918,won,001-UMNO,UMNO,001-BN,BN,5064.0,45.222361135917126,14011,11198,984,3,82.2282492327457,8.787283443472049,8.787283443472056,False
